,country,year,upsec_ageindatayear,Female_Needs_in_primary,Female_Needs_in_LS,Female_Needs_in_US,Male_Needs_in_primary,Male_Needs_in_LS,Male_Needs_in_US,age_low,age_high,age_band,Total_population_agerange,Female_population_agerange,Male_population_agerange,Female_primary_pop,Female_LS_pop,Female_US_pop,Male_primary_pop,Male_LS_pop,Male_US_pop,Gender_parity_index_primary,Gender_parity_index_LS,Gender_parity_index_US
72,Pakistan,2017-18,13-16,43.050349580238,31.010277191372,2.231764025014,33.752766421548,37.552907828608,1.584723140947,13,16,4,18116.985,8702.0,9415.0,3746241.4204723104,2698514.3211931917,194208.10545671827,3177822.958588745,3535606.272063443,149201.68372016004,1.178870399418348,0.7632394880944394,1.3016482161218197
73,Panama,2013,15-17,4.5,20.0,4.4,3.5999999999999996,34.6,5.0,15,17,3,215.30599999999998,106.0,110.0,4770.0,21200.0,4664.0,3960.0,38060.0,5500.0,1.2045454545454546,0.5570152390961639,0.848
74,Peru,2012,15-16,5.0,17.0,2.8,4.3,19.799999999999997,1.3,15,16,2,989.976,505.0,485.0,25250.0,85850.0,14140.0,20855.0,96029.99999999999,6305.0,1.2107408295372812,0.8939914610017704,2.2426645519429025
75,Rwanda,2014-15,16-18,39.0,44.400000000000006,1.5,50.0,38.0,1.1,16,18,3,810.7080000000001,408.0,403.0,159120.0,181152.00000000003,6120.0,201500.0,153140.0,4433.0,0.7896774193548387,1.1829175917461148,1.3805549289420258
76,Saint Lucia,2012,15-16,0.0,7.3,0.0,1.2,9.0,5.2,15,16,2,4.957000000000001,2.0,2.0,0.0,146.0,0.0,24.0,180.0,104.0,0.0,0.8111111111111111,0.0
77,Sao Tome and Principe,2019,15-16,9.121060757998475,55.692510516968845,0.0915352447644245,16.478938931375907,57.79354395384175,0.1327145027757386,15,16,2,10.661,5.0,5.0,456.05303789992377,2784.625525848442,4.5767622382212245,823.9469465687954,2889.6771976920877,6.635725138786929,0.5534980617369709,0.9636458799178165,0.6897154632685552
78,Senegal,2019,17-19,48.086401846468,37.812821697447,1.296878309799,50.823315070825004,38.827929421104,0.247257714981,17,19,3,1022.6809999999999,507.0,515.0,243798.05736159274,191711.00600605627,6575.17303068093,261740.07261474876,199963.8365186856,1273.3772321521499,0.9314510190437496,0.9587283848104298,5.163570436678967
79,Serbia,2019,15-18,0.6528098559510295,3.4579966391723733,2.207504818101448,0.0,2.163573644756222,2.321655215280844,15,18,4,409.183,198.0,211.0,1292.5635147830385,6846.833345561298,4370.859539840867,0.0,4565.140390435629,4898.692504242581,inf,1.4998078394053371,0.8922502353547244
81,Sierra Leone,2017,15-18,31.29833567025457,38.82240851489026,2.304360541168131,31.090280027230165,37.13845505893684,1.647363310448656,15,18,4,709.802,354.0,356.0,110796.10827270117,137431.32614271154,8157.4363157351845,110681.39689693939,132212.90000981514,5864.613385197215,1.0010364106252525,1.0394698711888855,1.3909589225992713
82,South Africa,2016,16-18,4.265896355484,17.029813285897,2.078532304642,6.671988705426999,26.607153795693,2.023333803386,16,18,3,2925.404,1454.0,1472.0,62026.13300873736,247613.4851769424,30221.85970949468,98211.67374388542,391657.30387260095,29783.473585841923,0.6315556047897927,0.6322197562221042,1.0147191066343972
83,South Sudan,2010,14-16,87.1,8.9,0.4,78.9,12.4,0.6,14,16,3,761.943,377.0,385.0,328367.0,33553.0,1508.0,303765.0,47740.0,2310.0,1.080990239165144,0.7028278173439464,0.6528138528138528
84,State of Palestine,2019-20,16-17,0.4030835544019745,10.54081060461278,1.66188629672885,1.016209200979286,24.834005232832837,6.443529581140081,16,17,2,206.864,102.0,105.0,411.145225490014,10751.626816705035,1695.124022663427,1067.0196610282503,26075.705494474478,6765.706060197084,0.3853211337210108,0.4123235253973603,0.2505465072796923
85,Sudan,2014,14-16,27.725179034353673,25.122491736712615,3.750248162501473,29.283525406520262,29.390529550792785,4.181346254069949,14,16,3,3014.881,1489.0,1526.0,412827.9158215262,374073.90195965086,55841.19513964694,446866.5977034992,448499.4809450979,63807.34383710742,0.9238280908510462,0.8340564880284494,0.8751531059215203
86,Suriname,2018,16-18,4.040483031777658,55.55832427693027,1.398633839654488,11.380197389719239,64.83347133982578,1.071913129279591,16,18,3,30.421,15.0,16.0,606.0724547666487,8333.748641539541,209.7950759481732,1820.8315823550784,10373.355414372125,171.50610068473455,0.33285475748545046,0.8033802283486075,1.2232513893708197
87,Tajikistan,2017,16-17,2.365647043677,4.408225165605,10.366015697628,1.2847118844960002,2.9309152886099996,2.25075051278,16,17,2,321.65,157.0,165.0,3714.06585857289,6920.913509999849,16274.644645275961,2119.7746094184,4836.010226206499,3713.7383460869996,1.7521041350674136,1.4311205283428041,4.3822809063605215
88,Tanzania,2015-16,18-19,16.7,59.6,14.9,23.2,56.8,10.9,18,19,2,2421.656,1203.0,1219.0,200901.0,716988.0,179247.0,282808.0,692392.0,132871.0,0.7103794800712852,1.0355232296155934,1.3490302624349932
89,Thailand,2019,15-17,1.2968974731656422,18.897576013682844,6.790324255037472,1.5722056465431598,28.369229065990254,16.74561142235473,15,17,3,2577.813,1255.0,1323.0,16276.06328822881,237164.57897171972,85218.56940072028,20800.280703766002,375324.9005430511,221544.4391177531,0.7824924826750987,0.6318914056290175,0.3846567746863001
90,Timor-Leste,2016,15-17,15.177863347999999,51.129533439,1.123042167,23.138514467,51.516959578,0.854907358,15,17,3,93.591,46.0,47.0,6981.81714008,23519.58538194,516.5993968199999,10875.10179949,24212.97100166,401.80645826,0.6420001641186863,0.9713630508345108,1.2856921191787316
91,Togo,2017,16-18,25.241983202613888,52.9606166325616,2.14954378997944,16.20276129133577,57.598437888360166,1.057646981753374,16,18,3,535.131,266.0,269.0,67143.67531895294,140875.2402426139,5717.786481345311,43585.427873693225,154939.79791968886,2845.070380916576,1.5405074263244465,0.9092256614122786,2.0097170599706753
92,Tonga,2019,16-18,0.5153914974097769,8.885197069710866,6.422257877171179,1.444080833186871,19.808895828127824,8.0479012422287,16,18,3,6.881,3.0,4.0,15.461744922293304,266.55591209132604,192.6677363151354,57.76323332747484,792.3558331251129,321.91604968914805,0.2676745055914138,0.33640935164193697,0.5985030460617954
93,Tunisia,2018,15-18,3.244614084696519,22.28358641702672,1.880890162413392,6.890126487463805,34.80349429322095,3.331161745495212,15,18,4,629.3050000000001,303.0,327.0,9831.180676630453,67519.26684359096,5699.097192112577,22530.71361400664,113807.4263388325,10892.898907769344,0.4363457298804204,0.5932764584498169,0.5231938017939104
94,Turkey,2013,14-17,2.3,9.9,12.1,1.3,9.0,11.7,14,17,4,5445.438,2660.0,2786.0,61180.0,263340.0,321860.0,36218.0,250740.0,325962.0,1.6892153073057596,1.050251256281407,0.9874157110338014
95,Turkmenistan,2019,16-17,0.0961214876380553,3.3414611883945513,0.0,0.8405012042550102,2.457859153318761,0.0,16,17,2,196.50900000000001,97.0,99.0,93.23784300891363,3241.2173527427144,0.0,832.09619221246,2433.2805617855734,0.0,0.11205176021897612,1.3320360190459362,
96,Uganda,2016,17-18,46.6,38.6,6.0,47.0,38.9,4.0,17,18,2,2065.283,1030.0,1035.0,479980.0,397580.0,61800.0,486450.0,402615.0,41400.0,0.9866995580224073,0.9874942562994424,1.4927536231884058
97,Ukraine,2012,15-16,0.1,1.2,0.5,0.7,2.0,1.2,15,16,2,822.0989999999999,398.0,424.0,398.0,4776.0,1990.0,2968.0,8480.0,5088.0,0.13409703504043127,0.5632075471698114,0.39111635220125784
98,Uruguay,2012-13,15-17,1.3,37.8,3.0,5.199999999999999,60.2,4.7,15,17,3,145.96800000000002,71.0,75.0,923.0,26838.0,2130.0,3899.9999999999995,45150.0,3525.0,0.2366666666666667,0.5944186046511628,0.6042553191489362
99,Viet Nam,2013-14,15-17,3.8,11.2,7.3,2.9,17.5,8.6,15,17,3,3929.13,1890.0,2039.0,71820.0,211680.0,137970.0,59131.0,356825.0,175354.0,1.2145913311122762,0.5932319764590486,0.7868083990100027
