,country,Female_NEET_15_19,Female_NEET_20_24,year,Male_NEET_15_19,Male_NEET_20_24,15_19_male_total_pop,20_24_male_total_pop,15_19_female_total_pop,20_24_female_total_pop,%Male_NEET_15_19,%Male_NEET_20_24,%Female_NEET_15_19,%Female_NEET_20_24,%Total_NEET_15_19,%Total_NEET_20_24
72,Namibia,24.125,58.331,2018,19.937,49.133,121.0,120.0,123.0,124.0,16.476859504132232,40.94416666666667,19.61382113821138,47.04112903225807,18.058196721311475,44.04262295081967
73,Nauru,0.175,0.33,2013,0.106,0.12,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
74,Nepal,462.473,990.188,2017,221.251,324.722,1633.0,1313.0,1650.0,1641.0,13.548744641763625,24.73130236100533,28.02866666666667,60.34052407068861,20.826195552848006,44.51286391333784
75,Nicaragua,103.404,161.467,2014,23.914,30.766,315.0,307.0,297.0,298.0,7.591746031746033,10.021498371335506,34.816161616161615,54.18355704697987,20.80359477124183,31.774049586776858
76,Niger,585.871,555.919,2017,416.594,197.465,1174.0,926.0,1188.0,934.0,35.485008517887564,21.32451403887689,49.315740740740736,59.52023554603855,42.44136325148179,40.50451612903226
77,Nigeria,1898.787,1545.146,2019,1330.52,1583.515,10794.0,8882.0,10800.0,8950.0,12.326477672781175,17.828360729565414,17.58136111111111,17.264201117318436,14.954649439659162,17.545205248990577
78,North Macedonia,5.712,18.028,2020,5.895,19.035,62.0,67.0,58.0,62.0,9.508064516129032,28.41044776119403,9.848275862068965,29.077419354838707,9.6725,28.731007751937987
79,Occupied Palestinian Territory,39.435,152.462,2020,58.473,95.675,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
80,Pakistan,4036.107,6066.246,2019,822.992,686.285,11334.0,10615.0,10550.0,10060.0,7.261266984295041,6.465237870937353,38.25693838862559,60.3006560636183,22.203888685797843,32.660367593712216
81,Palau,0.034,0.154,2014,0.032,0.087,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
82,Panama,22.042,59.755,2021,21.696,35.56,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
83,Papua New Guinea,71.664,109.241,2010,80.65,91.824,378.0,336.0,368.0,325.0,21.33597883597884,27.32857142857143,19.473913043478262,33.61261538461539,20.417426273458446,30.418305597579426
84,Paraguay,75.288,99.468,2017,35.638,31.767,348.0,343.0,329.0,332.0,10.24080459770115,9.261516034985423,22.8838905775076,29.960240963855423,16.384933530280648,19.442222222222224
85,Peru,391.023,447.112,2020,369.251,323.232,1182.0,1209.0,1264.0,1373.0,31.239509306260572,26.735483870967748,30.935363924050634,32.5646030589949,31.08233851185609,29.83516653756778
86,Philippines,635.596,1464.089,2020,639.547,985.831,5408.0,5192.0,5099.0,4941.0,11.825943047337278,18.9875,12.4651108060404,29.631430884436348,12.1361282954221,24.17763742228363
87,Rwanda,187.507,280.247,2020,172.1,170.506,673.0,586.0,700.0,613.0,25.572065378900444,29.096587030716726,26.786714285714286,45.71729200652529,26.191332847778586,37.59407839866556
88,Saint Lucia,1.467,1.659,2019,1.542,2.564,7.0,8.0,7.0,8.0,22.02857142857143,32.05,20.95714285714286,20.7375,21.492857142857144,26.39375
89,Samoa,1.513,4.514,2017,2.149,3.25,10.0,9.0,9.0,8.0,21.490000000000002,36.11111111111111,16.81111111111111,56.425000000000004,19.273684210526316,45.67058823529412
90,Senegal,290.046,391.209,2019,170.835,174.451,863.0,739.0,876.0,762.0,19.7954808806489,23.6063599458728,33.11027397260274,51.33976377952756,26.502645198389878,37.68554297135243
91,Serbia,13.807,37.838,2020,19.463,42.995,265.0,273.0,246.0,254.0,7.344528301886793,15.749084249084246,5.61260162601626,14.896850393700788,6.510763209393347,15.338330170777988
92,Seychelles,0.732,0.703,2020,1.064,0.901,3.0,3.0,3.0,3.0,35.46666666666667,30.033333333333335,24.4,23.43333333333333,29.933333333333334,26.733333333333338
93,Sierra Leone,29.62,48.371,2018,22.993,40.954,417.0,361.0,428.0,369.0,5.513908872901678,11.344598337950139,6.920560747663551,13.108672086720869,6.226390532544379,12.236301369863014
94,Solomon Islands,2.25,3.759,2013,1.654,1.686,31.0,25.0,29.0,25.0,5.3354838709677415,6.744,7.758620689655173,15.036,6.506666666666666,10.89
