,Unnamed: 0,country,GPI_path_primary,GPI_path_LS,GPI_path_US,Female_Never entered primary_pop,Female_Did not transition to lower secondary_pop,Female_Did not transition to upper secondary_pop,Male_Never entered primary_pop,Male_Did not transition to lower secondary_pop,Male_Did not transition to upper secondary_pop,GPI_NEET_15_19,GPI_NEET_20_24,Female_primary_pop_cumulative,Female_LS_pop_cumulative,Female_US_pop_cumulative,Male_primary_pop_cumulative,Male_LS_pop_cumulative,Male_US_pop_cumulative,GPI_primary_cumulative,GPI_LS_cumulative,GPI_US_cumulative
59,59,Madagascar,0.976275730749517,0.9208523188277064,1.717817100241387,119058.5299929504,117496.57026901108,38389.87828605168,110918.11329265454,131690.1049869741,22348.05922042408,1.0171006719151023,1.6788469499115644,119058.5299929504,236555.10026196146,274944.97854801314,110918.11329265454,242608.21827962864,264956.2775000527,1.0733912294272223,0.9750498228766085,1.0376994315522812
60,60,Malawi,0.81677843264304,1.1303422717533094,7.860346223585078,12239.08005159,25805.641157100003,5387.319146790001,7939.34225318,11328.92799402,685.3793705200001,1.4882044305173767,2.0766467693451034,12239.08005159,38044.72120869,43432.04035548,7939.34225318,19268.2702472,19953.64961772,1.5415735537396433,1.9744751719069613,2.17664643749732
61,61,Maldives,0.3798143520133708,1.0391864752331197,1.1745113713633166,6.91142588851641,20.309796175230566,523.3220117187035,35.8977932244636,98.44606329488352,445.5657258654349,0.7897862232779098,1.8369602763385144,6.91142588851641,27.22122206374698,550.5432337824504,35.8977932244636,134.34385651934713,579.909582384782,0.19253066185155965,0.20262349741185817,0.9493604701588698
62,62,Mali,1.174867302573005,0.7772043046887697,0.9629047457323544,271204.9031560224,36011.09208257524,15095.080252753703,216902.25685664892,25132.36720431139,15676.608013052082,2.0801020408163264,4.278656263425586,271204.9031560224,307215.9952385977,322311.07549135137,216902.25685664892,242034.6240609603,257711.2320740124,1.2503553770547542,1.2693059781447649,1.2506675510316387
64,64,Mauritania,1.0818969191538637,0.9054685419394376,4.530318404628029,22025.74558435148,8366.459775640957,1890.9720408512508,23379.943934006744,7317.901398726867,417.4037831247124,2.090162809213958,3.31569416498994,22025.74558435148,30392.205359992437,32283.177400843688,23379.943934006744,30697.84533273361,31115.24911585832,0.9420786314339468,0.990043601776335,1.0375355595141327
69,69,Mongolia,0.5905888999834606,0.6153200676542118,0.1142626892157158,300.591653430558,45.63562485096054,491.2881284835634,391.8367883170397,336.3644254744728,4299.637369430924,1.1946619950535862,1.24452,300.591653430558,346.2272782815185,837.5154067650819,391.8367883170397,728.2012137915125,5027.838583222437,0.767134843876236,0.4754555083461383,0.16657563541514941
70,70,Montenegro,1.0077634152302863,0.3866298971474796,4.026196829856592,253.8809981664087,133.6896229658599,195.0320128192059,493.6831175050878,0.0,48.44075465286,0.8029389600602863,0.9239477503628448,253.8809981664087,387.57062113226857,582.6026339514744,493.6831175050878,493.6831175050878,542.1238721579479,0.5142590239857499,0.7850594994840477,1.074666997474948
72,72,Namibia,0.6220095693779905,0.9251968503937008,1.456140350877193,1200.0,1584.0,3984.0,1728.0,2304.0,2736.0,1.210061694337162,1.187206154722895,1200.0,2784.0,6768.0,1728.0,4032.0,6768.0,0.6944444444444444,0.6904761904761905,1.0
74,74,Nepal,1.1170149751708605,0.8682911694629051,1.7010342076436729,51361.27375164,32132.99933558,16363.45184346,23810.0322484,24662.5421684,9619.7076872,2.090263998806785,3.049340666785743,51361.27375164,83494.27308722,99857.72493068001,23810.0322484,48472.574416799995,58092.282104,2.157127433336064,1.7225054392465262,1.7189499416103022
76,76,Niger,1.1895403780068732,0.5105648712737129,0.1486378205128205,529788.0,15582.0,1484.0,357120.0,29184.0,9984.0,1.4063356649399654,2.8152786569771857,529788.0,545370.0,546854.0,357120.0,386304.0,396288.0,1.4835013440860214,1.411763792246521,1.3799408510981912
77,77,Nigeria,0.9804970859665764,0.8599730941773333,0.744164938002583,1542541.6397711912,405601.7946680418,100275.85858198717,1495856.8398982794,345695.87667384866,134749.50707989297,1.4271014340257944,0.975769727473374,1542541.6397711912,1948143.434439233,2048419.2930212202,1495856.8398982794,1841552.716572128,1976302.223652021,1.0312094036191901,1.0578808941540991,1.0364909114133027
78,78,North Macedonia,0.2163878613018051,0.8864509182396814,3.420700787990516,208.69873982199405,0.0,1244.0258693843043,190.74416548086225,93.01554267918917,363.6757338589398,0.9689567430025444,0.947097452061991,208.69873982199405,208.69873982199405,1452.7246092062983,190.74416548086225,283.75970816005145,647.4354420189911,1.0941290880162373,0.7354770033252216,2.2438138460200108
80,80,Pakistan,1.178870399418348,0.7632394880944394,1.3016482161218197,2524145.7494930797,655811.6528555775,194208.10545671827,1487768.4057906014,540891.7819409524,149201.68372016004,4.904187404008788,8.839251914292168,2524145.7494930797,3179957.402348657,3374165.5078053754,1487768.4057906014,2028660.1877315538,2177861.871451714,1.6965985698236055,1.567516049055255,1.5493018873397293
82,82,Panama,1.2045454545454546,0.5570152390961639,0.848,848.0,4346.0,4664.0,550.0,6270.0,5500.0,1.015947640117994,1.6803993250843643,848.0,5194.0,9858.0,550.0,6820.0,12320.0,1.5418181818181818,0.76158357771261,0.8001623376623377
85,85,Peru,1.2107408295372812,0.8939914610017704,2.2426645519429025,5555.0,27775.0,14140.0,1940.0,23280.0,6305.0,1.058962602674062,1.3832541332541333,5555.0,33330.0,47470.0,1940.0,25220.0,31525.0,2.86340206185567,1.3215701823949246,1.5057890563045202
87,87,Rwanda,0.7896774193548387,1.1829175917461148,1.3805549289420258,6936.0,60384.0,6120.0,10075.0,44330.0,4433.0,1.08952353282975,1.643619579369641,6936.0,67320.0,73440.0,10075.0,54405.0,58838.0,0.6884367245657568,1.237386269644334,1.2481729494544342
88,88,Saint Lucia,0.0,0.8111111111111111,0.0,0.0,0.0,0.0,0.0,50.0,104.0,0.9513618677042802,0.6470358814352574,0.0,0.0,0.0,0.0,50.0,154.0,,0.0,0.0
90,90,Senegal,0.9314510190437496,0.9587283848104298,5.163570436678967,150388.68721314205,15562.16854247874,6575.17303068093,157692.78746025704,8710.364144622401,1273.37723215215,1.6978136798665378,2.2425150901972475,150388.68721314205,165950.85575562078,172526.02878630173,157692.78746025704,166403.15160487944,167676.5288370316,0.9536814564270683,0.9972819273860111,1.0289217577612395
91,91,Serbia,,1.4998078394053371,0.8922502353547244,0.0,199.03351935280511,4370.859539840867,0.0,0.0,4898.692504242581,0.7093973179879772,0.8800558204442378,0.0,199.03351935280511,4569.893059193672,0.0,0.0,4898.692504242581,,,0.9328801624588301
93,93,Sierra Leone,1.0010364106252525,1.0394698711888857,1.3909589225992711,62424.06682258615,17138.549948598305,8157.436315735184,63349.24394325803,9732.816582407208,5864.613385197215,1.28821815335102,1.1811056307076233,62424.06682258615,79562.61677118446,87720.05308691964,63349.24394325803,73082.06052566523,78946.67391086245,0.9853956091172839,1.088675061963303,1.1111304471922794
95,95,South Africa,0.6315556047897927,0.6322197562221042,1.0147191066343972,10637.13916021698,28032.73401988048,30221.85970949468,9525.51407036032,19225.24253887616,29783.473585841923,0.9732420679251952,1.1158889740539235,10637.13916021698,38669.873180097464,68891.73288959214,9525.51407036032,28750.75660923648,58534.230195078395,1.116699747818924,1.345003670883373,1.1769477903782974
97,97,Sudan,0.9238280908510462,0.8340564880284494,0.8751531059215203,188040.06093758403,58867.068233407816,55841.19513964694,163170.62467115253,43737.67828590558,63807.34383710742,1.7901982397530904,2.5425489221259183,188040.06093758403,246907.12917099183,302748.32431063877,163170.62467115253,206908.30295705813,270715.64679416554,1.152413685469136,1.193316680105559,1.1183259183420187
98,98,Suriname,0.3328547574854504,0.8033802283486075,1.2232513893708197,163.9731219162261,185.18572331816912,209.7950759481732,395.46830396092,546.9099712946253,171.50610068473455,0.947756956274844,2.1698564593301435,163.9731219162261,349.15884523439524,558.9539211825684,395.46830396092,942.3782752555453,1113.8843759402798,0.4146302504496791,0.37050816471730913,0.5018060520965026
100,100,Thailand,0.7824924826750987,0.6318914056290175,0.3846567746863001,3794.17675535842,36541.60672877856,85218.56940072028,14639.89786575294,140345.71779545324,221544.4391177531,1.0441842016943463,1.7895265122391064,3794.17675535842,40335.783484136984,125554.35288485726,14639.89786575294,154985.6156612062,376530.05477895925,0.2591668869653882,0.2602550134220828,0.33345107858272705
101,101,Timor-Leste,0.6420001641186863,0.9713630508345108,1.2856921191787316,1878.33505128,663.0415831600001,516.5993968199999,2725.96540001,665.08277686,401.80645826,1.462243797195253,1.6406574118397956,1878.33505128,2541.37663444,3057.97603126,2725.96540001,3391.04817687,3792.85463513,0.6890531520587567,0.7494369002995815,0.8062465676740042
102,102,Togo,1.5405074263244465,0.9092256614122786,2.0097170599706757,21032.346606615112,16263.136572008396,5717.786481345311,5743.003003857588,8618.47433059868,2845.070380916576,1.5863161552770908,2.041372957385453,21032.346606615112,37295.48317862351,43013.26965996882,5743.003003857588,14361.477334456267,17206.547715372843,3.6622558951279736,2.5969113281363914,2.4998198576196367
103,103,Tonga,0.2676745055914138,0.3364093516419369,0.5985030460617954,11.064889421858409,68.92221517296917,192.6677363151354,31.023476311870017,42.37596767855464,321.91604968914805,0.7529610829103215,1.4335616438356165,11.064889421858409,79.98710459482758,272.654840909963,31.023476311870017,73.39944399042466,395.3154936795727,0.3566618167037853,1.0897508243422434,0.6897145324917783
104,104,Tunisia,0.4363457298804204,0.5932764584498169,0.5231938017939104,4212.31594797696,7280.347876091551,5699.097192112577,6475.0071504936,12789.95940554407,10892.898907769344,1.231318123349807,1.7429647181018533,4212.31594797696,11492.663824068512,17191.761016181088,6475.0071504936,19264.96655603767,30157.865463807015,0.6505500071387332,0.5965576836398241,0.5700589465396092
105,105,Turkey,1.6892153073057596,1.050251256281407,0.9874157110338014,37240.0,77140.0,321860.0,22288.0,19502.0,325962.0,1.3603685416503786,1.786962306102152,37240.0,114380.0,436240.0,22288.0,41790.0,367752.0,1.670854271356784,2.7370184254606365,1.1862342013095781
107,107,Uganda,0.9866995580224072,0.9874942562994424,1.4927536231884058,37080.0,127720.0,61800.0,37260.0,90045.0,41400.0,1.3871328565862733,2.3460955384850184,37080.0,164800.0,226600.0,37260.0,127305.0,168705.0,0.9951690821256038,1.2945288873178586,1.3431729942799562
109,109,Uruguay,0.2366666666666667,0.5944186046511628,0.6042553191489362,71.0,1562.0,2130.0,1875.0,5250.0,3525.0,0.9335708096659284,1.4789815447710182,71.0,1633.0,3763.0,1875.0,7125.0,10650.0,0.037866666666666667,0.22919298245614034,0.35333333333333333
112,112,Viet Nam,1.2145913311122762,0.5932319764590486,0.7868083990100027,45360.0,17010.0,137970.0,18351.0,28546.0,175354.0,0.9825128571693804,1.7263523655808506,45360.0,62370.0,200340.0,18351.0,46897.0,222251.0,2.471799901912702,1.3299358167899866,0.9014132669819258
113,113,Yemen,1.720900693346415,0.7407636443164077,1.1470035105315948,155043.0,71262.0,18297.0,51844.0,46859.0,15952.0,2.9424472231117083,2.8295251291094594,155043.0,226305.0,244602.0,51844.0,98703.0,114655.0,2.990567857418409,2.2927874532688977,2.133374035148925
114,114,Zambia,0.8540355547723071,1.085923409901559,1.3432238693238567,24365.191305125583,63893.773580728,39993.498660298814,20618.88340993686,35391.05075635686,29774.261441937066,1.390117148603777,1.6811806043569923,24365.191305125583,88258.96488585358,128252.46354615239,20618.88340993686,56009.93416629372,85784.19560823079,1.1816930539208181,1.5757734087637445,1.495059347899823
115,115,Zimbabwe,0.584709182541801,0.9002505657818539,1.3973531388976366,3076.9868189268955,96479.41270839234,242335.78352418807,1491.8907543582322,101499.68917416106,173424.86790086958,1.3017543711390738,1.5665719078161484,3076.9868189268955,99556.39952731923,341892.1830515073,1491.8907543582322,102991.57992851929,276416.4478293889,2.0624746215084127,0.9666460073378403,1.2368735136287246
