,Unnamed: 0,country,GPI_path_primary,GPI_path_LS,GPI_path_US,Female_Never entered primary_pop,Female_Did not transition to lower secondary_pop,Female_Did not transition to upper secondary_pop,Male_Never entered primary_pop,Male_Did not transition to lower secondary_pop,Male_Did not transition to upper secondary_pop,GPI_NEET_15_19,GPI_NEET_20_24
0,0,Afghanistan,1.9219315979920872,0.5298299315722775,0.6723894790368995,662739.93261,51705.439965000005,19135.2997755,268605.4039872,53452.41029436,28458.65435448,2.2588450432016702,2.7042376510096173
1,1,Albania,0.8728947052290985,1.2659176010862987,0.7520332318917777,643.7666266901906,292.0807412337287,6412.617162663088,1038.339639381781,257.3745799429623,8527.03961835812,0.8696505505026328,1.0358748015178838
2,2,Angola,1.2041851142754576,0.8850979638878217,1.1424498175182485,106848.0,24486.0,10017.0,61376.0,9864.0,8768.0,1.697367984517556,1.6856861430979506
3,3,Argentina,0.8165189649060618,0.7122448979591837,1.0936405529953916,4188.0,9423.0,17799.0,1085.0,19530.0,16275.0,0.860187184171194,1.2443885448916407
4,4,Armenia,inf,0.2682830049666661,0.4433143214924638,66.54727662,0.0,335.93629410000005,0.0,0.0,757.783536,0.5596439505612881,1.2258257459958797
5,5,Bangladesh,0.3533957077028033,0.8806308604772821,1.1730450196648332,111611.76809717657,350182.20177964016,92372.12677004148,297569.1677968253,622134.2847217812,78745.59392139476,2.5229328482636086,7.902624308079051
6,6,Belarus,,0.5528808821245536,0.0,0.0,0.0,0.0,0.0,0.0,658.0,0.96844276383637,0.7100537503053995
7,7,Belize,0.665733353207098,0.9856566828852148,1.6201570380220789,73.07737326181467,1394.0323390435688,741.2950580045987,116.66040509325607,1675.8904305533233,457.5451888969893,1.883981154299176,3.160410904780719
8,8,Benin,1.3003985969272462,0.8165731567136765,2.240773337667882,106536.17966681278,6750.398512237804,4851.804361678655,76394.49397251813,7406.6105961944495,2165.2365636982463,1.2502323366092796,2.04307959311575
9,9,Bolivia,1.169787072465461,0.9112727818195456,1.0305614783226724,2250.0,14850.0,13050.0,2814.0,9849.0,12663.0,1.4921431689218685,2.1695647769861903
10,10,Bosnia and Herzegovina,0.7269230769230769,1.435897435897436,,189.0,0.0,0.0,260.0,0.0,0.0,0.7837615433848404,1.1831085223789088
12,12,Brazil,0.5747250454960691,0.7147775282100647,0.9127986016702272,84600.0,28200.0,84600.0,136584.0,53658.0,92682.0,1.267151972976832,1.5496075799728015
14,14,Burkina Faso,1.125236498821655,0.725616406790076,0.9617021276595744,415614.0,26442.0,1356.0,334170.0,33840.0,1410.0,1.5769940578799004,2.9564863738865337
15,15,Burundi,0.968503937007874,1.0388548057259714,1.375,27300.0,36400.0,3850.0,16800.0,36400.0,2800.0,0.9593819580325214,1.3979324293954605
16,16,Cambodia,0.7665189903353462,1.076519744388006,1.2343415098833057,13578.0,40734.0,31098.0,19890.0,35360.0,25194.0,0.9764276006505804,1.903824342524988
17,17,Cameroon,1.1308906165655712,0.8542832461633034,0.8613327995618697,96730.19655936048,50836.26321845905,11933.86560939564,61494.81301662762,37266.1789091905,13855.11571771792,2.00381616606902,2.619291556046541
19,19,Chad,1.1166269648557077,0.8791413056469695,0.537391743220236,264634.12568232714,24880.096692020667,1049.4416861605662,217831.44918985764,12338.822656092128,1952.842966793556,1.854824548981846,3.646866788757067
