,Country,U.S. dollars,all_return,Minimal wages:,all_return,%return per GDP,50% GDP,all_return,return per GDP
83,Thailand,220.33,38375450650,,38375450650,7.649942421,,52156525070,10.39712647
84,Timor-Leste,115,1455474324,,1455474324,76.51705285,,760817951.3,39.99764642
85,Togo,63.01,5068181775,,5068181775,66.90989666,,3066402774,40.48250475
86,Tonga,,0,,0,0,,60086768.4,12.29195688
87,Tunisia,165.82,7151283265,,7151283265,17.18217955,,6328122252,15.20439461
88,Turkey,419.91,94055519243,,94055519243,13.0640863,,79669717757,11.06593294
89,Turkmenistan,,0,,0,0,,427221512.2,0.944523588
90,Uganda,1.61,703481547.9,,703481547.9,1.870943243,,14965872303,39.80246212
91,Ukraine,175.2,903660913.5,,903660913.5,0.581136198,,800960424.3,0.515090438
92,Uruguay,,0,,0,0,,9574428774,17.85313838
93,Vietnam,,0,,0,0,,20618207175,7.603748933
94,Yemen,,0,,0,,,8223640420,
95,Zambia,,0,,0,0,,8461414975,46.72070679
96,Zimbabwe,,0,,0,0,,18163048150,100.6197789
