,Country,Total_Never entered primary,Total_Dropped out of primary,Total_Still attending primary,Total_Did not transition to lower secondary,Total_Dropped out of lower secondary,Total_Still attending lower secondary,Total_Did not transition to upper secondary,Total_Transitioned to upper secondary,Total_population_agerange,Total_Never entered primary_pop,Total_Dropped out of primary_pop,Total_Still attending primary_pop,Total_Did not transition to lower secondary_pop,Total_Dropped out of lower secondary_pop,Total_Still attending lower secondary_pop,Total_Did not transition to upper secondary_pop,Total_Transitioned to upper secondary_pop,primary_dur,lower secondary_dur,upper secondary_dur,GDP,Year,primary_return_rate,secondary_return_rate,increasemental_rate_of_salaries_Never_entered_primary,increasemental_rate_of_Dropped_out_of_primary,increasemental_rate_of_Still_in_primary,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary,increasemental_rate_of_salaries_Still_in_lower_secondary,increasemental_rate_of_Did_not_transition_to_upper_secondary,year_before_work_primary_full,year_before_work_primary_half,year_before_work_LS_full,year_before_work_LS_half,year_before_work_US_full,increasemental_rate_of_salaries_Never_entered_primary_longterm,increasemental_rate_of_salaries_Dropped_out_of_primary_longterm,increasemental_rate_of_salaries_Still_attending_primary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary_longterm,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary_longterm,increasemental_rate_of_salaries_Still_attending_lower_secondary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_upper_secondary_longterm,Total_Never entered primary_return_in_money,Total_Dropped out of primary_return_in_money,Total_Still attending primary_return_in_money,Total_Did not transition to lower secondary_return_in_money,Total_Dropped out of lower secondary_return_in_money,Total_Still attending lower secondary_return_in_money,Total_Did not transition to upper secondary_return_in_money,all_return,GDP_total,%return per GDP
84,Timor-Leste,4.975190425,4.804067743,9.534558588,1.427717597,2.066497078,47.83660587,0.983732824,28.37162987,93.591,4656.330470661749,4496.17504135113,8923.48872809508,1336.21517620827,1934.05528027098,44770.757799791696,920.6853873098399,26553.292111631694,6.0,3.0,3.0,1442.730738,2007.0,25.707799911499023,4.828932285308838,523.6731751752308,263.61714435063163,263.61714435063163,132.70490468091626,123.64177489300552,123.64177489300552,115.19761485417841,12.0,9.0,6.0,4.5,3.0,21.376383232876318,16.588211694914715,16.588211694914715,14.129890937115023,14.93753336144514,14.93753336144514,17.391970166566498,71801466.00422503,53801956.45385191,106779906.82078435,13619792.74141432,20840256.52704918,482423686.1147628,11550886.623879679,760817951.2859672,1902156800.0,39.997646423573876
85,Togo,4.837392492,10.12132331,5.476239372,4.566397037,8.332888306,42.52770915,1.568876714,22.56917362,535.131,25886.38681636452,54162.3386420361,29305.054513777322,24436.20612806847,44591.86852078086,227578.95525148648,8395.54564839534,120774.64448444221,6.0,4.0,3.0,914.9507925,2011.0,14.983734130859375,8.209449768066406,401.4900356540995,264.0982637819545,264.0982637819545,173.7226001611993,148.36311514982486,148.36311514982486,126.70552890951059,13.0,10.0,7.0,5.0,3.0,15.625962758457542,15.10014578195993,15.10014578195993,15.109540059699292,16.588726860524392,16.588726860524392,18.322023680706835,185048668.0172728,374150465.89085877,202437709.93258235,168908990.50257212,338404764.7012245,1727081760.813399,70370414.54628947,3066402774.404199,7574636978.66173,40.4825047463326
86,Tonga,0.536307789,0.361462043,0.0,1.787670049,6.26244541,5.332802842,7.091599905,78.62771196,6.881,36.90333896109,24.872203178830002,0.0,123.00957607168998,430.91886866210007,366.95016355802005,487.97298946305,5410.3728599676,6.0,5.0,2.0,4624.823449,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.8717100000001,153.55610346059194,153.55610346059194,121.00000000000001,13.0,10.0,7.0,4.5,2.0,13.872862717185765,14.904227909976346,14.904227909976346,16.27697498158061,16.935578141662667,16.935578141662667,19.647001898033455,1183850.6408503542,857213.3035364199,0.0,4629965.772187892,16875657.427676998,14370513.114130972,22169568.13809187,60086768.39647451,488829964.070819,12.291956879257398
87,Tunisia,1.687940164,3.276014619,0.120571887,3.164128296,13.61543187,11.82290094,2.612851172,63.70016105,629.305,10622.291849060199,20616.12379809795,758.7649134853499,19912.017573142795,85682.59352950349,74402.106760467,16442.8030679546,400868.2984957025,6.0,3.0,4.0,3521.591948,2001.0,11.905033111572266,8.92140007019043,357.18254398309483,254.88329095438976,254.88329095438976,181.88316619082835,160.00099487152266,160.00099487152266,140.75144443558705,13.0,10.0,7.0,5.5,4.0,14.245382556362898,14.71797578304899,14.71797578304899,15.560004870649811,15.787315295797024,15.787315295797024,17.68835902090525,266441201.0668326,534274115.49839175,19663660.200808473,545549336.636085,2381825402.697826,2068247710.4908762,512120825.0141645,6328122251.604985,41620349986.3089,15.204394613900735
88,Turkey,1.1,0.7,0.0,1.8,1.6,6.0,11.9,76.9,5445.438,59899.818000000014,38118.066,0.0,98017.884,87127.008,326726.27999999997,648007.1220000001,4187541.822,4.0,4.0,4.0,8536.43332,2010.0,6.45686674118042,5.001949787139893,189.79013198404397,167.4658539004256,167.4658539004256,147.76749417591677,134.02449561992495,134.02449561992495,121.5596537408349,12.0,10.0,8.0,6.0,4.0,9.93254987543154,11.092536788397053,11.092536788397053,12.433466571092026,14.210016777502297,14.210016777502297,16.278310226146434,2539409348.032387,1804713188.3632748,0.0,5201684538.860533,5284377657.195207,19816416214.48202,45023116809.684135,79669717756.61755,719954821683.31,11.065932938728515
89,Turkmenistan,0.480625244,0.0,0.0,0.0,0.371540584,2.513502605,0.0,96.63433157,196.509,944.47186073196,0.0,0.0,0.0,730.1106862125599,4939.258834059449,0.0,189895.15862489128,4.0,6.0,2.0,7612.03518,,10.0,10.0,313.84283767210025,259.3742460100002,259.3742460100002,214.3588810000001,161.05100000000007,161.05100000000007,121.00000000000001,12.0,10.0,8.0,5.0,2.0,14.184453409871738,14.904227909976346,14.904227909976346,15.775155055102912,17.436179011744077,17.436179011744077,19.647001898033455,50988521.55349776,0.0,0.0,0.0,48451900.338550806,327781090.3105751,0.0,427221512.2026237,45231428571.4286,0.9445235883451343
90,Uganda,3.6,33.8,9.4,10.6,8.4,19.7,5.0,9.4,2065.283,74350.18800000001,698065.6539999999,194136.60199999998,218919.998,173483.77200000003,406860.75099999993,103264.15,194136.60199999998,7.0,4.0,2.0,822.0276815,2012.0,13.868733406066895,14.507800102233887,559.5538089411095,355.16171278960667,355.16171278960667,225.42933354408223,171.9254955195713,171.9254955195713,131.12036284253156,13.0,9.5,6.0,4.0,2.0,20.5510828191634,18.876794813846292,18.876794813846292,19.7601378321658,19.978761925869286,19.978761925869286,20.546706821001806,628019642.4125199,5416028893.063066,1506232887.419906,1778000390.1134655,1424570264.197243,3340956452.938771,872063772.8830525,14965872303.028023,37600368180.9399,39.80246212220446
91,Ukraine,0.4,0.0,0.0,0.0,0.0,1.7,0.9,97.0,822.099,3288.396,0.0,0.0,0.0,0.0,13975.683000000003,7398.891000000001,797436.03,4.0,5.0,2.0,3726.927149,,10.0,10.0,285.3116706110002,235.79476910000014,235.79476910000014,194.8717100000001,153.55610346059194,153.55610346059194,121.00000000000001,11.0,9.0,7.0,4.5,2.0,14.527203171826311,15.31895512194138,15.31895512194138,16.27697498158061,16.935578141662667,16.935578141662667,19.647001898033455,89019885.14971887,0.0,0.0,0.0,0.0,441056245.5796383,270884293.52699596,800960424.2563531,155498989149.587,0.5150904379743876
92,Uruguay,1.4,1.3,0.8,4.8,10.6,34.7,4.0,42.4,145.968,2043.5519999999997,1897.5839999999998,1167.744,7006.463999999999,15472.607999999998,50650.896,5838.719999999999,61890.43199999999,6.0,3.0,3.0,15438.41167,2012.0,3.9933664798736572,4.777500152587891,167.35628241204935,148.8075984122679,148.8075984122679,132.31473014384122,123.3690289983785,123.3690289983785,115.02814009790873,12.0,9.0,6.0,4.5,3.0,9.163630215378953,11.350600976575908,11.350600976575908,14.1061994568565,14.919316054315745,14.919316054315745,17.378273453863503,144552587.6564907,166261803.86667016,102314956.22564319,762924456.3791467,1781907101.7625482,5833224191.618908,783243676.4267616,9574428773.936169,53628827440.3582,17.853138378951325
93,Vietnam,1.7,1.6,0.1,1.2,8.4,4.9,7.9,74.3,3929.13,66795.21,62866.08,3929.13,47149.56,330046.92000000004,192527.37000000002,310401.27,2919343.59,5.0,4.0,3.0,2785.724161,2010.0,8.305800437927246,3.2646000385284424,186.60309936424193,152.85848886545224,152.85848886545224,125.21612823064969,117.42412601065728,117.42412601065728,110.11700780244753,12.0,9.5,7.0,5.0,3.0,9.82331440825368,10.486729610886046,10.486729610886046,12.431973500132433,14.522242713469101,14.522242713469101,16.981362612520766,913926939.9438646,918257673.888259,57391104.61801619,816442934.9037691,6676017869.222695,3894343757.046572,7341826895.389457,20618207175.012634,271158442448.537,7.6037489332185375
94,Yemen,10.8,15.4,5.9,6.1,5.6,23.5,1.7,31.0,1959.731,211650.94800000003,301798.57399999996,115624.12900000002,119543.59099999999,109744.93599999999,460536.785,33315.426999999996,607516.61,6.0,3.0,3.0,758.1452416,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,1138034009.945576,1752543252.6593957,671428908.486392,762616907.9227215,704542075.5657777,2956560495.6778173,237914769.58970547,8223640419.847386,,
95,Zambia,3.52488215,16.12695453,13.01099,7.777071335,4.604373915,23.70044899,5.466297669,25.78898142,1276.025,44978.3774545375,205783.9715414325,166023.48514750003,99237.37450243375,58752.96224887875,302423.6542246475,69751.32483085725,329073.850164555,7.0,2.0,3.0,985.132436,2012.0,13.316266059875488,12.06586742401123,424.0456117688786,273.772410135205,273.772410135205,176.7529965434244,157.72241861535204,157.72241861535204,140.7408180928053,12.0,8.5,5.0,4.0,3.0,17.961650868712177,17.05149485213071,17.05149485213071,18.48495041109874,18.93524119405256,18.93524119405256,19.456336116838646,397937308.48553467,1728377587.1608272,1394429646.3998065,903562458.8662512,547980661.8159935,2820663126.547227,668464185.8916878,8461414975.167327,18110631358.3114,46.720706792390104
96,Zimbabwe,0.336347567,6.85590771,0.422714939,14.87437238,17.74450565,22.27517281,30.91342685,6.577552101,1332.28,4481.091365627601,91339.88723878801,5631.7465893092,198168.288344264,236406.49987382,296767.67231306806,411853.40323718,87631.41113120281,7.0,2.0,4.0,1214.50982,2007.0,48.733001708984375,17.451997756958008,4226.820929396826,1053.3874722098126,1053.3874722098126,262.5200322283168,223.5126155721474,223.5126155721474,190.30124633099845,13.0,9.5,6.0,5.0,4.0,134.8197130518933,47.83411706649731,47.83411706649731,22.01229288625999,21.608129743511824,21.608129743511824,21.328855082706728,366866648.5961785,2653195598.730049,163588172.87408337,2648929963.808789,3102041666.4849586,3894079415.2117085,5334346684.253459,18163048149.959225,18051170798.941,100.61977891774636
