,Country,Total_Never entered primary,Total_Dropped out of primary,Total_Still attending primary,Total_Did not transition to lower secondary,Total_Dropped out of lower secondary,Total_Still attending lower secondary,Total_Did not transition to upper secondary,Total_Transitioned to upper secondary,Total_population_agerange,Total_Never entered primary_pop,Total_Dropped out of primary_pop,Total_Still attending primary_pop,Total_Did not transition to lower secondary_pop,Total_Dropped out of lower secondary_pop,Total_Still attending lower secondary_pop,Total_Did not transition to upper secondary_pop,Total_Transitioned to upper secondary_pop,primary_dur,lower secondary_dur,upper secondary_dur,GDP,Year,primary_return_rate,secondary_return_rate,increasemental_rate_of_salaries_Never_entered_primary,increasemental_rate_of_Dropped_out_of_primary,increasemental_rate_of_Still_in_primary,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary,increasemental_rate_of_salaries_Still_in_lower_secondary,increasemental_rate_of_Did_not_transition_to_upper_secondary,year_before_work_primary_full,year_before_work_primary_half,year_before_work_LS_full,year_before_work_LS_half,year_before_work_US_full,increasemental_rate_of_salaries_Never_entered_primary_longterm,increasemental_rate_of_salaries_Dropped_out_of_primary_longterm,increasemental_rate_of_salaries_Still_attending_primary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary_longterm,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary_longterm,increasemental_rate_of_salaries_Still_attending_lower_secondary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_upper_secondary_longterm,Total_Never entered primary_return_in_money,Total_Dropped out of primary_return_in_money,Total_Still attending primary_return_in_money,Total_Did not transition to lower secondary_return_in_money,Total_Dropped out of lower secondary_return_in_money,Total_Still attending lower secondary_return_in_money,Total_Did not transition to upper secondary_return_in_money,all_return,GDP_total,%return per GDP
64,Niger,61.6,15.1,0.8,2.8,5.8,9.0,0.6,4.4,1509.873,930081.768,227990.823,12078.984,42276.443999999996,87572.63399999999,135888.56999999998,9059.238000000001,66434.41200000001,6.0,4.0,3.0,567.6698923,2011.0,38.6956672668457,6.257501125335693,1088.6657350697012,408.042942908635,408.042942908635,152.93862743542627,135.45592040679537,135.45592040679537,119.97169505786955,13.0,10.0,7.0,5.0,3.0,37.037717976245254,21.0699233271009,21.0699233271009,13.962260776531494,15.72662651201431,15.72662651201431,17.777804649591115,9777576373.364471,1363471884.116233,72236921.01278056,167540597.8587033,390903762.74477345,606574804.2591312,45712572.7387444,12424016916.09484,13741378450.136,90.41317769668062
65,Nigeria,22.32485106,1.416621055,4.320895584,5.527964666,0.824094807,17.84277489,1.720761869,46.02203607,13620.092,3040665.2532349755,192945.09098237063,588509.9537647372,752913.8732366927,112242.47088062245,2430202.355370899,234369.34965871947,6268243.653007184,6.0,3.0,3.0,2097.092473,2003.0,16.62380027770996,6.7509002685546875,372.3509039285248,234.74202411472396,234.74202411472396,147.98894619054064,134.17510945181718,134.17510945181718,121.65070743343034,12.0,9.0,6.0,4.5,3.0,16.18981598805294,15.270928902749466,15.270928902749466,15.05794116409867,15.641078289286943,15.641078289286943,17.913500080810625,51617635882.98109,3089489862.2737017,9423383236.889135,11887717644.454336,1840820720.72496,39856275581.09709,4402190687.389998,122117513615.81032,432293776262.398,28.248732764934882
66,North Macedonia,0.412872107,1.76566205,0.0,0.092694328,3.090321744,0.73670506,1.690421878,92.21132283,96.386,397.9509090530199,1701.851023513,0.0,89.34435498607999,2978.6375161718397,710.0805391316,1629.33003132908,88878.8056229238,5.0,4.0,4.0,5917.262575,,10.0,10.0,345.2271214393103,272.0340042027498,272.0340042027498,214.3588810000001,177.1561000000001,177.1561000000001,146.41000000000005,13.0,10.5,8.0,6.0,4.0,13.872862717185763,14.026602301744907,14.026602301744907,15.775155055102912,16.828976900706074,16.828976900706074,18.104101333885886,16333769.979050066,70626042.15885904,0.0,4169957.2252692804,148308558.958465,35355433.7952487,87272392.06722659,362066154.1841187,12263710122.7645,2.9523378370794475
67,Pakistan,22.52967797,6.323955231,9.636203868,6.657674825,2.471901162,25.08989529,1.914387133,25.37630452,18116.985,4081698.3783732047,1145710.0206069853,1745789.60933498,1206169.949394026,447833.96273436566,4545532.566205007,346829.22972754005,4597421.283442723,5.0,3.0,4.0,1188.859757,2010.0,13.380233764648438,7.00066614151001,300.87916168609206,219.81065490197503,219.81065490197503,160.58514567002186,145.08604691410417,145.08604691410417,131.08286523845806,12.0,9.5,7.0,5.5,4.0,13.740123724045693,13.263418126420762,13.263418126420762,14.384350050543953,14.881676507220378,14.881676507220378,16.977994435297845,33337435082.933674,9032974893.670563,13764105600.123148,10313341018.293888,3961589910.372108,40210295444.31142,3500279375.3802404,114120021325.08502,262610002938.509,43.45608318347515
68,Panama,0.6,1.7,1.6,5.0,6.6,16.5,4.7,63.3,215.306,1291.8360000000002,3660.202,3444.896,10765.300000000001,14210.196000000002,35525.490000000005,10119.382,136288.698,6.0,3.0,3.0,12509.83529,2012.0,10.868332862854004,6.415416240692139,269.6946870109552,197.901843498745,197.901843498745,145.2202862958544,132.28800482819133,132.28800482819133,120.5073799797566,12.0,9.0,6.0,4.5,3.0,12.67127659688753,13.59028010928261,13.59028010928261,14.889827550818701,15.515034359053272,15.515034359053272,17.821097955543653,102388068.43132965,311139434.4818592,292837114.80645573,1002622394.6649008,1379032196.3813136,3447580490.9532843,1128002452.4096484,7663602152.128792,53977036995.1729,14.19789336123459
69,Peru,0.7,3.2,0.7,5.2,4.3,9.0,2.0,74.9,989.976,6929.831999999999,31679.232,6929.831999999999,51478.75200000001,42568.968,89097.84,19799.52,741492.0240000001,6.0,3.0,2.0,6126.87454,2012.0,14.579899787902832,4.869932651519775,287.0156473226373,190.8008300547972,190.8008300547972,126.83962386439647,118.10776787616433,118.10776787616433,109.97702774334294,11.0,8.0,5.0,3.5,2.0,14.591447309178186,14.592965115774975,14.592965115774975,15.151124832528161,16.02469514767152,16.02469514767152,18.667054581976842,309763376.12830144,1416208447.107936,309795597.80486095,2389361589.7295833,2089738238.9558165,4373870732.69822,1132242495.437183,12020980477.8619,202014363787.233,5.950557303203807
70,Rwanda,2.1,32.1,10.3,12.9,5.7,22.6,1.3,13.0,810.708,17024.868000000002,260237.26799999998,83502.92400000001,104581.33200000001,46210.356,183220.008,10539.204,105392.04,6.0,3.0,3.0,797.8555207,2010.0,34.10900115966797,19.686168670654297,1710.0600304383174,708.9858580738957,708.9858580738957,293.9434511079343,224.49043505928006,224.49043505928006,171.44779121001656,12.0,9.0,6.0,4.5,3.0,62.0397644556221,36.905929438194,36.905929438194,23.92032951423352,21.673440489759944,21.673440489759944,21.938030724476285,421355000.5661359,3831421190.604481,1229396830.6300986,997965632.9208716,399541072.1985779,1584145303.8048878,92235840.59947386,8556060871.324527,10333991455.5443,82.79531590607331
71,Saint Lucia,0.0,0.0,0.7,1.4,0.5,6.4,2.8,88.2,4.957,0.0,0.0,34.69899999999999,69.39799999999998,24.785,317.248,138.79599999999996,4372.074,7.0,3.0,2.0,8804.561048,,10.0,10.0,313.84283767210036,224.8214910766528,224.8214910766528,161.05100000000007,139.59645769144723,139.59645769144723,121.00000000000001,12.0,8.5,5.0,3.5,2.0,14.184453409871747,14.818354251859972,14.818354251859972,17.436179011744077,17.603500463804483,17.603500463804483,19.647001898033455,0.0,0.0,2263573.730975821,5326917.700678115,1920727.138492889,24585307.37270898,12004690.030470429,46101215.973326236,,
72,Sao Tome and Principe,0.715486708,6.099479176,5.933247867,2.968096479,5.801159925,47.95898337,0.111835047,30.41171143,10.661,76.27803793988,650.26547495336,632.54355510087,316.42876562619,618.46165960425,5112.9072170757,11.92273436067,3242.1925555523,6.0,3.0,3.0,2157.840446,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,1167350.9794032343,10747542.561162123,10454635.90193375,5745436.17977246,11300616.634436494,93423744.94902158,242336.48438025196,133081663.69010988,472914469.91933,28.14074682739376
73,Senegal,30.11806548,12.31683196,6.953802129,2.413710287,5.220220957,30.66190631,0.797440294,11.51802259,1022.681,308011.7332315188,125961.90025684761,71115.2131508785,24684.556500194467,53386.20788525718,313573.4900701711,8155.270373082141,117792.62860363789,6.0,4.0,3.0,1471.830962,2011.0,9.835599899291992,6.451167583465576,271.9642148428689,205.249630503778,205.249630503778,154.90056604056207,136.69484795432064,136.69484795432064,120.62887783355083,13.0,10.0,7.0,5.0,3.0,11.590058735728455,12.659532821218855,12.659532821218855,14.070560164055628,15.809377248465166,15.809377248465166,17.830917242109276,2627125600.2855444,1173504668.9589016,662533944.7594323,255602239.8891442,621114653.1735116,3648228582.7071652,107013849.60578582,9095123539.379484,24644234594.6566,36.9056847939254
