,Country,Total_Never entered primary,Total_Dropped out of primary,Total_Still attending primary,Total_Did not transition to lower secondary,Total_Dropped out of lower secondary,Total_Still attending lower secondary,Total_Did not transition to upper secondary,Total_population_agerange,Total_Never entered primary_pop,Total_Dropped out of primary_pop,Total_Still attending primary_pop,Total_Did not transition to lower secondary_pop,Total_Dropped out of lower secondary_pop,Total_Still attending lower secondary_pop,Total_Did not transition to upper secondary_pop,primary_dur,lower secondary_dur,upper secondary_dur,Reference area,U.S. dollars,Year,primary_return_rate,secondary_return_rate,increasemental_rate_of_salaries_Never_entered_primary,increasemental_rate_of_Dropped_out_of_primary,increasemental_rate_of_Still_in_primary,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary,increasemental_rate_of_salaries_Still_in_lower_secondary,increasemental_rate_of_Did_not_transition_to_upper_secondary,year_before_work_primary_full,year_before_work_primary_half,year_before_work_LS_full,year_before_work_LS_half,year_before_work_US_full,increasemental_rate_of_salaries_Never_entered_primary_longterm,increasemental_rate_of_salaries_Dropped_out_of_primary_longterm,increasemental_rate_of_salaries_Still_attending_primary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary_longterm,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary_longterm,increasemental_rate_of_salaries_Still_attending_lower_secondary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_upper_secondary_longterm,Total_Never entered primary_return_in_money,Total_Dropped out of primary_return_in_money,Total_Still attending primary_return_in_money,Total_Did not transition to lower secondary_return_in_money,Total_Dropped out of lower secondary_return_in_money,Total_Still attending lower secondary_return_in_money,Total_Did not transition to upper secondary_return_in_money,all_return,GDP_total,%return per GDP
0,Afghanistan,33.86134089,8.254576837,3.415738804,3.786342453,3.976627641,14.55592654,1.706867773,2777.983,940662.2934962488,229310.74125379772,94888.64329952332,105183.949666123,110470.03984028102,404361.16477368824,47416.49656641859,6.0,3.0,3.0,Afghanistan,70.75,2007.0,4.1107001304626465,1.5524200201034546,139.67345163147291,123.77352638900012,123.77352638900012,109.68359166199949,107.17814778705387,107.17814778705387,104.72993443232907,12.0,9.0,6.0,4.5,3.0,8.214801849351822,10.208546778198325,10.208546778198325,12.732031950719726,13.83789095669674,13.83789095669674,16.5459868793757,6560523841.646006,1987449085.0789847,822405205.6126721,1136985391.2663255,1297842838.1326985,4750584343.766743,666085267.8157822,17221875973.31921,20116137325.8206,85.61224103005907
1,Albania,1.099108134,0.713800474,0.099165849,0.371935058,0.728686074,0.048609368,9.871477886,149.99,1648.5522901866002,1070.6293309526,148.73885691510003,557.8653934942,1092.9562423926,72.9091910632,14806.2296812114,5.0,4.0,3.0,Albania,239.3,2005.0,14.55566692352295,2.8771400451660156,240.61077262769203,171.30641343029043,171.30641343029043,121.96414550298549,115.23765508016123,115.23765508016123,108.88213985846478,12.0,9.5,7.0,5.0,3.0,11.67442612373047,11.251815243017704,11.251815243017704,12.25246342946908,14.37620343934985,14.37620343934985,16.881562312894058,55266531.96177133,34592796.66905148,4805858.465948376,19628033.064387932,45120191.00307302,3009888.6845183014,717762993.0418363,880186292.8905867,14887629268.2927,5.912199162328588
2,Algeria,2.15748254,3.252027305,0.397180629,0.444625251,12.83145719,26.81798328,2.813620409,1792.845,38680.317844263,58303.80893632725,7120.833047995051,7971.44158129095,230048.1386580555,480804.87233631604,50443.85282173605,5.0,4.0,3.0,Algeria,226.79,,10.0,10.0,313.8428376721003,247.303640184318,247.303640184318,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,12.0,9.5,7.0,5.0,3.0,14.184453409871745,14.403627039894937,14.403627039894937,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,1493164948.013648,2285461671.225699,279130837.1664531,353114629.51906246,10916293150.912132,22815254952.406548,2586229127.9610176,40728649317.20456,145009181490.62,28.086945184115198
3,Angola,7.7,9.7,22.8,1.6,3.3,39.5,0.8,2209.021,170094.617,214275.037,503656.78800000006,35344.336,72897.693,872563.2950000002,17672.168,6.0,3.0,3.0,Angola,58.81,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,1702690058.3275442,2316504499.432907,5444979648.151576,419768617.4410926,871256912.6794741,10428681227.52704,234950221.46304065,21418831185.022675,58375976292.9678,36.6911742555351
4,Argentina,0.2,0.7,1.5,1.4,6.1,29.3,1.6,2131.984,4263.968,14923.887999999997,31979.76,29847.775999999994,130051.02399999999,624671.3119999999,34111.744,6.0,3.0,3.0,Argentina,239.23,2012.0,3.7152998447418213,4.690299987792969,163.86855688349416,146.88151634153695,146.88151634153695,131.65539657573112,122.90767382449353,122.90767382449353,114.74118553323873,12.0,9.0,6.0,4.5,3.0,9.044088505911436,11.262733125382805,11.262733125382805,14.066164583413032,14.888501112408411,14.888501112408411,17.35508218740228,110707138.83295742,482528157.0689655,1033988908.0049262,1205270585.3726516,5558551581.727133,26699272351.574585,1699524715.5507622,36789843438.13199,389288056265.325,9.450545128735552
5,Armenia,0.099474532,0.0,0.0,0.0,0.539703959,0.839012558,1.51263563,70.442,70.07184983143999,0.0,0.0,0.0,380.17826279878,591.0172261063599,1065.5307904846,4.0,5.0,3.0,Armenia,139.06,2008.0,39.68833541870117,0.8294995427131653,406.7630185771585,208.45925303825928,208.45925303825928,106.83188537953583,104.64822439228752,104.64822439228752,102.50919778821317,12.0,10.0,8.0,5.5,3.0,17.369290398470184,12.792644601737413,12.792644601737413,10.379236151440084,12.42628338711765,12.42628338711765,16.3665100506551,2030996.2893272047,0.0,0.0,0.0,7883371.748412861,12255325.880054932,29100842.108118854,51270536.02591385,12641209802.112,0.4055825101276932
6,Bangladesh,3.343933513,6.954979112,2.266373138,7.90019894,6.166328543,20.02120903,1.373772424,12412.588,415068.6899626164,863292.9026586184,281315.5601626114,980619.1456025672,765400.9567689928,2485150.189512696,170520.71104873312,5.0,3.0,4.0,Bangladesh,17.76,2005.0,7.855966567993164,4.568900108337402,199.54399175960413,165.16887770277705,165.16887770277705,136.7155077987052,127.85389700236207,127.85389700236207,119.56667712311582,12.0,9.5,7.0,5.5,4.0,10.266863187052694,10.99727493495697,10.99727493495697,13.066741459164303,13.835336726807059,13.835336726807059,16.1318833333935,908200959.9194238,2023333446.5139065,659330315.5266297,2730812447.7119675,2256851282.7629633,7327681450.433693,586254804.5544323,16492464707.423016,323056957972.312,5.105125984884846
7,Barbados,0.0,0.0,0.0,0.0,0.0,17.3,0.0,7.382,0.0,0.0,0.0,0.0,0.0,1277.086,0.0,6.0,3.0,2.0,,,,10.0,10.0,285.3116706110003,214.35888100000017,214.35888100000017,161.05100000000007,139.59645769144723,139.59645769144723,121.00000000000001,11.0,8.0,5.0,3.5,2.0,14.527203171826315,15.77515505510292,15.77515505510292,17.436179011744077,17.603500463804483,17.603500463804483,19.647001898033455,,,,,,,,0.0,4418000000.0,0.0
8,Belarus,0.0,0.0,0.0,0.0,0.0,11.1,0.4,182.251,0.0,0.0,0.0,0.0,0.0,20229.861,729.004,4.0,5.0,2.0,Belarus,159.21,,10.0,10.0,285.3116706110002,235.79476910000014,235.79476910000014,194.8717100000001,153.55610346059194,153.55610346059194,121.00000000000001,11.0,9.0,7.0,4.5,2.0,14.527203171826311,15.31895512194138,15.31895512194138,16.27697498158061,16.935578141662667,16.935578141662667,19.647001898033455,0.0,0.0,0.0,0.0,0.0,654552542.546221,27363886.90224258,681916429.4484636,60258239055.5829,1.1316567495765282
9,Belize,1.196324755,7.41457743,0.807591262,19.25468726,10.91667747,44.26976652,7.424627403,15.781,188.79200958655002,1170.0944642283,127.44597705622002,3038.5821965006003,1722.7608715407,6986.2118545212,1171.68045046743,6.0,4.0,2.0,Belize,321.75,1999.0,9.707900047302246,6.873149394989014,259.7999472995309,196.7548072394991,196.7548072394991,149.00870679246032,130.4591157041576,130.4591157041576,114.21870061603643,12.0,9.0,6.0,4.0,2.0,12.332134628818212,13.537952322802429,13.537952322802429,15.11986124312257,16.932166649185508,16.932166649185508,19.04414125609742,8989212.937675655,61160877.33287531,6661605.5434846245,177385695.92266598,112625656.38435918,456724266.70102286,86152994.95004474,909700309.7721283,1636280797.08056,55.595611180868765
